(6, 17607, 17700, 15890, array([-7664.,  -608.,  3136.]), array([ 8572.,   572., -5091.]), array([ 160.,   40., -355.]))
(6, 18561, 18708, 18435, array([-7664.,  -464.,  3152.]), array([ 8530.,   585., -5133.]), array([ 161.,   31., -353.]))
(6, 19984, 19716, 18435, array([-7552.,  -448.,  2992.]), array([ 8493.,   595., -5186.]), array([ 161.,   31., -353.]))
(6, 20933, 20724, 20980, array([-7664.,  -256.,  3056.]), array([ 8529.,   643., -5139.]), array([ 163.,   24., -352.]))
(6, 21882, 21732, 20980, array([-7632.,  -416.,  3152.]), array([ 8555.,   609., -5051.]), array([ 163.,   24., -352.]))
(6, 23305, 22740, 20980, array([-7680.,  -416.,  3120.]), array([ 8538.,   620., -5064.]), array([ 163.,   24., -352.]))
(6, 24254, 23748, 23524, array([-7632.,  -352.,  3232.]), array([ 8493.,   635., -5097.]), array([ 163.,   13., -346.]))
(6, 25677, 24756, 23524, array([-7792.,  -448.,  3232.]), array([ 8507.,   620., -5095.]), array([ 163.,   13., -346.]))
(6, 26626, 26772, 26070, array([-7840.,  -368.,  3344.]), array([ 8524.,   655., -5022.]), array([ 164.,    2., -346.]))
(6, 27575, 27780, 26070, array([-7888.,  -400.,  3376.]), array([ 8507.,   640., -5061.]), array([ 164.,    2., -346.]))
(6, 28998, 28788, 28615, array([-7808.,  -384.,  3328.]), array([ 8471.,   643., -5125.]), array([ 163.,   -5., -343.]))
(6, 29947, 29796, 28615, array([-7744.,  -368.,  3424.]), array([ 8465.,   633., -5065.]), array([ 163.,   -5., -343.]))
(6, 30896, 30804, 31159, array([-7712.,  -384.,  3552.]), array([ 8531.,   608., -5012.]), array([ 166.,  -16., -342.]))
(6, 32320, 31812, 31159, array([-7680.,  -416.,  3456.]), array([ 8502.,   577., -5013.]), array([ 166.,  -16., -342.]))
(6, 33269, 32820, 31159, array([-7616.,  -400.,  3280.]), array([ 8452.,   548., -5069.]), array([ 166.,  -16., -342.]))
(6, 35641, 34836, 33705, array([-7632.,  -528.,  3408.]), array([ 8468.,   546., -5021.]), array([ 168.,  -25., -337.]))
(6, 36590, 36852, 36250, array([-7632.,  -528.,  3344.]), array([ 8451.,   547., -5020.]), array([ 168.,  -33., -332.]))
(6, 38014, 37860, 36250, array([-7648.,  -352.,  3200.]), array([ 8436.,   516., -5083.]), array([ 168.,  -33., -332.]))
(6, 38963, 38868, 38796, array([-7488.,  -320.,  3216.]), array([ 8407.,   522., -5105.]), array([ 169.,  -46., -327.]))
(6, 39912, 39876, 38796, array([-7632.,  -384.,  3200.]), array([ 8448.,   536., -5050.]), array([ 169.,  -46., -327.]))
(6, 41336, 40884, 41341, array([-7616.,  -224.,  3248.]), array([ 8470.,   556., -5017.]), array([ 173.,  -51., -320.]))
(6, 42285, 41892, 41341, array([-7616.,  -352.,  3168.]), array([ 8412.,   574., -5043.]), array([ 173.,  -51., -320.]))
(6, 43235, 42900, 41341, array([-7552.,  -224.,  3168.]), array([ 8403.,   587., -5062.]), array([ 173.,  -51., -320.]))
(6, 44659, 43908, 43886, array([-7600.,  -208.,  3328.]), array([ 8429.,   595., -5039.]), array([ 173.,  -59., -320.]))
(6, 45608, 45924, 43886, array([-7664.,  -304.,  3248.]), array([ 8469.,   617., -4968.]), array([ 173.,  -59., -320.]))
(6, 47032, 46932, 46430, array([-7600.,  -384.,  3312.]), array([ 8376.,   628., -5006.]), array([ 176.,  -68., -312.]))
(6, 47981, 47940, 46430, array([-7600.,  -304.,  3312.]), array([ 8402.,   617., -4997.]), array([ 176.,  -68., -312.]))
(6, 48930, 48948, 48974, array([-7584.,  -384.,  3424.]), array([ 8451.,   617., -4965.]), array([ 185.,  -75., -303.]))
(6, 50354, 49956, 48974, array([-7680.,  -400.,  3568.]), array([ 8433.,   608., -4943.]), array([ 185.,  -75., -303.]))
(6, 51303, 50964, 51520, array([-7616.,  -432.,  3488.]), array([ 8426.,   637., -4965.]), array([ 185.,  -86., -303.]))
(6, 52252, 51972, 51520, array([-7632.,  -320.,  3536.]), array([ 8354.,   606., -4970.]), array([ 185.,  -86., -303.]))
(6, 53676, 52980, 51520, array([-7616.,  -400.,  3536.]), array([ 8381.,   612., -4968.]), array([ 185.,  -86., -303.]))
(6, 54625, 53988, 54064, array([-7696.,  -320.,  3568.]), array([ 8404.,   604., -4965.]), array([ 184.,  -96., -300.]))
(6, 56049, 56004, 54064, array([-7632.,  -160.,  3488.]), array([ 8348.,   597., -5029.]), array([ 184.,  -96., -300.]))
(6, 56998, 57012, 56609, array([-7632.,  -160.,  3408.]), array([ 8322.,   576., -5016.]), array([ 184., -102., -294.]))
(6, 57948, 58020, 56609, array([-7712.,  -240.,  3392.]), array([ 8359.,   552., -4928.]), array([ 184., -102., -294.]))
(6, 59372, 59028, 59153, array([-7680.,  -288.,  3328.]), array([ 8404.,   566., -4916.]), array([ 185., -109., -290.]))
(6, 60321, 60036, 59153, array([-7632.,  -224.,  3360.]), array([ 8377.,   584., -4930.]), array([ 185., -109., -290.]))
(6, 61270, 61044, 61699, array([-7600.,  -192.,  3296.]), array([ 8332.,   562., -4924.]), array([ 194., -117., -279.]))
(6, 62695, 62052, 61699, array([-7600.,  -288.,  3376.]), array([ 8324.,   544., -4941.]), array([ 194., -117., -279.]))
(6, 63644, 63060, 61699, array([-7552.,  -368.,  3408.]), array([ 8374.,   546., -4891.]), array([ 194., -117., -279.]))
(6, 65068, 64068, 64244, array([-7504.,  -352.,  3312.]), array([ 8389.,   558., -4879.]), array([ 198., -122., -275.]))
(6, 481, 548, 64244, array([-7488.,  -208.,  3280.]), array([ 8269.,   578., -5025.]), array([ 198., -122., -275.]))
