(1, 28629, 28689, 26726, array([ 7296., -2288., -2736.]), array([-7076.,   539.,  3177.]), array([-293.,   80.,  485.]))
(1, 30053, 29697, 29272, array([ 7424., -2384., -2800.]), array([-7010.,   570.,  3259.]), array([-295.,   67.,  487.]))
(1, 31002, 30705, 29272, array([ 7504., -2432., -2768.]), array([-6922.,   609.,  3391.]), array([-295.,   67.,  487.]))
(1, 31952, 31714, 31818, array([ 7520., -2528., -2688.]), array([-6819.,   631.,  3501.]), array([-292.,   56.,  484.]))
(1, 33376, 32722, 31818, array([ 7520., -2592., -2640.]), array([-6737.,   663.,  3584.]), array([-292.,   56.,  484.]))
(1, 34326, 33730, 34363, array([ 7568., -2672., -2592.]), array([-6661.,   674.,  3692.]), array([-294.,   50.,  481.]))
(1, 35750, 35747, 34363, array([ 7568., -2720., -2496.]), array([-6745.,   644.,  3898.]), array([-294.,   50.,  481.]))
(1, 36699, 36755, 34363, array([ 7616., -2720., -2512.]), array([-6783.,   591.,  4014.]), array([-294.,   50.,  481.]))
(1, 37649, 37763, 36908, array([ 7616., -2864., -2624.]), array([-6896.,   600.,  4100.]), array([-294.,   39.,  481.]))
(1, 39074, 38771, 36908, array([ 7568., -2928., -2624.]), array([-7060.,   548.,  4176.]), array([-294.,   39.,  481.]))
(1, 40024, 39780, 39455, array([ 7600., -2896., -2688.]), array([-7238.,   506.,  4334.]), array([-297.,   34.,  480.]))
