(1, 32784, 32839, 30426, array([ 7184.,   880.,  4192.]), array([ 181.,  127.,  -25.]), array([-466.,  199., -196.]))
(1, 33734, 33847, 32971, array([ 7168.,   864.,  4176.]), array([ 189.,  122.,  -20.]), array([-466.,  200., -196.]))
(1, 34683, 34855, 32971, array([ 7200.,   896.,  4176.]), array([ 196.,  124.,  -37.]), array([-466.,  200., -196.]))
(1, 36107, 35863, 35516, array([ 7296.,   832.,  4176.]), array([ 187.,  138.,  -43.]), array([-465.,  199., -197.]))
(1, 37057, 36871, 35516, array([ 7184.,   880.,  4176.]), array([ 235.,  157.,  -40.]), array([-465.,  199., -197.]))
(1, 38482, 37879, 38061, array([ 7184.,   880.,  4144.]), array([ 234.,  151.,  -74.]), array([-465.,  200., -199.]))
(1, 39431, 38887, 38061, array([ 7152.,   864.,  4176.]), array([ 231.,  147.,  -91.]), array([-465.,  200., -199.]))
(1, 40381, 39896, 40608, array([ 7152.,   864.,  4144.]), array([ 250.,  146., -112.]), array([-464.,  199., -199.]))
(1, 41805, 40904, 40608, array([ 7216.,   800.,  4208.]), array([ 199.,  156., -129.]), array([-464.,  199., -199.]))
(1, 42755, 42920, 40608, array([ 7216.,   816.,  4256.]), array([ 218.,  149., -133.]), array([-464.,  199., -199.]))
(1, 43704, 43928, 43153, array([ 7168.,   848.,  4144.]), array([ 166.,  142., -174.]), array([-463.,  197., -198.]))
(1, 45129, 44936, 43153, array([ 7200.,   848.,  4160.]), array([ 201.,  169., -171.]), array([-463.,  197., -198.]))
(1, 46079, 45944, 45699, array([ 7248.,   816.,  4128.]), array([ 167.,  197., -171.]), array([-464.,  201., -193.]))
(1, 47503, 46952, 45699, array([ 7216.,   832.,  4112.]), array([ 191.,  185., -161.]), array([-464.,  201., -193.]))
(1, 48452, 47960, 48244, array([ 7232.,   736.,  4096.]), array([ 204.,  164., -164.]), array([-469.,  196., -200.]))
(1, 49402, 48969, 48244, array([ 7280.,   752.,  4064.]), array([ 230.,  155., -143.]), array([-469.,  196., -200.]))
(1, 50826, 49977, 50788, array([ 7232.,   816.,  4016.]), array([ 269.,  146., -156.]), array([-464.,  198., -195.]))
(1, 51775, 51993, 50788, array([ 7216.,   752.,  4048.]), array([ 372.,  166., -176.]), array([-464.,  198., -195.]))
(1, 52724, 53001, 50788, array([ 7264.,   752.,  4048.]), array([ 424.,  119., -163.]), array([-464.,  198., -195.]))
(1, 55098, 55017, 53334, array([ 7216.,   832.,  3984.]), array([ 471.,  101., -143.]), array([-466.,  198., -195.]))
(1, 56047, 56025, 55879, array([ 7200.,   832.,  3936.]), array([ 471.,   63., -133.]), array([-466.,  198., -198.]))
(1, 57471, 57033, 55879, array([ 7232.,   896.,  3888.]), array([ 519.,   29., -125.]), array([-466.,  198., -198.]))
(1, 58421, 58042, 58424, array([ 7232.,   848.,  3792.]), array([ 523.,    7., -149.]), array([-461.,  197., -196.]))
(1, 59845, 59050, 58424, array([ 7296.,   928.,  3808.]), array([ 506.,    2., -159.]), array([-461.,  197., -196.]))
