(1, 1398, 1030, 260, array([ 7920.,   688., -2384.]), array([  175.,  1095.,  1017.]), array([-490., -131.,  175.]))
(1, 2347, 2038, 260, array([ 7920.,   544., -2320.]), array([  234.,  1062.,   993.]), array([-490., -131.,  175.]))
(1, 5670, 5063, 5353, array([ 7824.,   336., -2144.]), array([  58.,  996.,  813.]), array([-496., -128.,  167.]))
(1, 6619, 6071, 5353, array([ 7840.,   272., -2176.]), array([-124.,  994.,  770.]), array([-496., -128.,  167.]))
(1, 8043, 8087, 7901, array([ 7840.,   272., -2128.]), array([ -421.,  1003.,   706.]), array([-492., -127.,  169.]))
(1, 8992, 9095, 7901, array([ 7760.,   256., -2096.]), array([-569.,  972.,  655.]), array([-492., -127.,  169.]))
(1, 10416, 10103, 7901, array([ 7792.,   368., -2032.]), array([-701.,  960.,  632.]), array([-492., -127.,  169.]))
(1, 11365, 11111, 10450, array([ 7760.,   368., -2064.]), array([-875.,  948.,  603.]), array([-498., -131.,  164.]))
(1, 12314, 12120, 10450, array([ 7776.,   384., -2112.]), array([-983.,  924.,  580.]), array([-498., -131.,  164.]))
(1, 13737, 13128, 12999, array([ 7824.,   464., -2128.]), array([-1109.,   910.,   583.]), array([-498., -126.,  164.]))
(1, 14686, 14136, 12999, array([ 7824.,   560., -2128.]), array([-1166.,   880.,   542.]), array([-498., -126.,  164.]))
(1, 15635, 15144, 15547, array([ 7808.,   656., -2144.]), array([-1146.,   876.,   503.]), array([-496., -130.,  169.]))
(1, 17058, 17160, 15547, array([ 7872.,   688., -2128.]), array([-1032.,   818.,   431.]), array([-496., -130.,  169.]))
(1, 18008, 18169, 18095, array([ 7840.,   688., -2144.]), array([-943.,  792.,  383.]), array([-500., -130.,  158.]))
(1, 18957, 19177, 18095, array([ 7888.,   640., -2128.]), array([-851.,  758.,  336.]), array([-500., -130.,  158.]))
(1, 20381, 20185, 18095, array([ 7840.,   512., -2064.]), array([-744.,  739.,  303.]), array([-500., -130.,  158.]))
(1, 21330, 21193, 20642, array([ 7872.,   496., -2048.]), array([-688.,  716.,  271.]), array([-494., -132.,  157.]))
(1, 22754, 22201, 20642, array([ 7808.,   432., -2080.]), array([-652.,  670.,  239.]), array([-494., -132.,  157.]))
(1, 23703, 23209, 23190, array([ 7792.,   384., -2048.]), array([-654.,  633.,  224.]), array([-497., -133.,  158.]))
(1, 24652, 24217, 23190, array([ 7776.,   384., -2016.]), array([-641.,  647.,  177.]), array([-497., -133.,  158.]))
(1, 26076, 25226, 25737, array([ 7760.,   400., -1984.]), array([-633.,  630.,  162.]), array([-496., -135.,  154.]))
(1, 27025, 27242, 25737, array([ 7744.,   352., -1952.]), array([-662.,  605.,  133.]), array([-496., -135.,  154.]))
(1, 27974, 28250, 28283, array([ 7712.,   336., -1936.]), array([-611.,  574.,  139.]), array([-498., -135.,  152.]))
(1, 29399, 29258, 28283, array([ 7744.,   320., -1920.]), array([-569.,  551.,  119.]), array([-498., -135.,  152.]))
(1, 30348, 30266, 28283, array([ 7744.,   288., -1920.]), array([-572.,  539.,  115.]), array([-498., -135.,  152.]))
(1, 31772, 31275, 30830, array([ 7728.,   272., -1824.]), array([-597.,  504.,  138.]), array([-500., -134.,  154.]))
(1, 32722, 32283, 30830, array([ 7760.,   240., -1840.]), array([-558.,  472.,  140.]), array([-500., -134.,  154.]))
(1, 33671, 33291, 33378, array([ 7728.,   176., -1856.]), array([-572.,  437.,  117.]), array([-500., -138.,  154.]))
(1, 35096, 34299, 33378, array([ 7760.,   128., -1888.]), array([-577.,  411.,  118.]), array([-500., -138.,  154.]))
(1, 36045, 35307, 35925, array([ 7776.,   208., -1936.]), array([-625.,  351.,  141.]), array([-499., -139.,  150.]))
(1, 36994, 37323, 35925, array([ 7760.,   288., -1952.]), array([-617.,  386.,  146.]), array([-499., -139.,  150.]))
(1, 38418, 38332, 38472, array([ 7744.,   208., -1888.]), array([-620.,  371.,  164.]), array([-498., -136.,  149.]))
(1, 39367, 39340, 38472, array([ 7728.,   176., -1888.]), array([-590.,  364.,  170.]), array([-498., -136.,  149.]))
(1, 41741, 41356, 41019, array([ 7744.,   176., -1904.]), array([-512.,  362.,  187.]), array([-497., -139.,  149.]))
(1, 44115, 43372, 43566, array([ 7824.,   144., -1904.]), array([-434.,  338.,  180.]), array([-499., -140.,  146.]))
(1, 45064, 44381, 43566, array([ 7904.,   112., -1920.]), array([-399.,  325.,  196.]), array([-499., -140.,  146.]))
(1, 46014, 46397, 46114, array([ 7936.,    80., -1920.]), array([-380.,  330.,  207.]), array([-499., -140.,  146.]))
(1, 47438, 47405, 46114, array([ 7968.,     0., -1904.]), array([-361.,  273.,  204.]), array([-499., -140.,  146.]))
(1, 48388, 48413, 48660, array([ 7984.,     0., -1776.]), array([-376.,  267.,  198.]), array([-500., -141.,  148.]))
(1, 50761, 50429, 48660, array([ 7904.,    80., -1712.]), array([-413.,  209.,  247.]), array([-500., -141.,  148.]))
(1, 51711, 51438, 51207, array([ 7904.,     0., -1712.]), array([-505.,  179.,  253.]), array([-501., -140.,  146.]))
(1, 53135, 52446, 51207, array([ 7824.,   -32., -1648.]), array([-478.,  181.,  238.]), array([-501., -140.,  146.]))
(1, 54084, 53454, 53755, array([ 7808.,    48., -1648.]), array([-533.,  174.,  236.]), array([-500., -141.,  146.]))
(1, 55034, 54462, 53755, array([ 7792.,    80., -1712.]), array([-555.,  143.,  225.]), array([-500., -141.,  146.]))
(1, 56458, 56478, 56302, array([ 7776.,   144., -1696.]), array([-546.,  123.,  202.]), array([-496., -138.,  145.]))
(1, 57407, 57487, 56302, array([ 7696.,   128., -1744.]), array([-527.,  129.,  182.]), array([-496., -138.,  145.]))
(1, 58356, 58495, 56302, array([ 7760.,   112., -1728.]), array([-464.,  153.,  160.]), array([-496., -138.,  145.]))
(1, 59780, 59503, 58849, array([ 7824.,   128., -1680.]), array([-419.,  135.,  140.]), array([-501., -139.,  144.]))
(1, 60729, 60511, 58849, array([ 7776.,   176., -1712.]), array([-345.,  153.,  128.]), array([-501., -139.,  144.]))
(1, 62153, 61519, 61397, array([ 7856.,   160., -1696.]), array([-265.,  151.,  120.]), array([-501., -139.,  144.]))
(1, 64051, 63535, 63944, array([ 7872.,   112., -1648.]), array([ -35.,  142.,   67.]), array([-499., -141.,  150.]))
(1, 65475, 64544, 63944, array([ 7936.,    96., -1680.]), array([  79.,  150.,   58.]), array([-499., -141.,  150.]))
(1, 889, 1024, 955, array([ 7904.,   -16., -1680.]), array([ 206.,  131.,  107.]), array([-499., -139.,  142.]))
(1, 1838, 2032, 955, array([ 7856.,   -48., -1632.]), array([ 280.,  117.,   96.]), array([-499., -139.,  142.]))
