(6, 32794, 32911, 30873, array([-8096.,  -368.,  2512.]), array([-8558.,  -477.,  5146.]), array([ 240.,  332., -245.]))
(6, 33748, 33919, 33419, array([-8080.,  -544.,  2480.]), array([-8563.,  -484.,  5189.]), array([ 244.,  335., -240.]))
(6, 35171, 34927, 33419, array([-8032.,  -304.,  2608.]), array([-8516.,  -487.,  5251.]), array([ 244.,  335., -240.]))
(6, 36120, 35935, 35965, array([-8080.,  -352.,  2416.]), array([-8530.,  -472.,  5213.]), array([ 249.,  335., -225.]))
(6, 37073, 36943, 35965, array([-7968.,  -352.,  2560.]), array([-8563.,  -481.,  5190.]), array([ 249.,  335., -225.]))
(6, 38500, 37951, 38510, array([-7984.,  -352.,  2560.]), array([-8563.,  -460.,  5203.]), array([ 260.,  341., -219.]))
(6, 39449, 38959, 38510, array([-8112.,  -400.,  2496.]), array([-8574.,  -444.,  5206.]), array([ 260.,  341., -219.]))
(6, 40398, 39967, 38510, array([-8112.,  -416.,  2400.]), array([-8538.,  -450.,  5238.]), array([ 260.,  341., -219.]))
(6, 41822, 41983, 41055, array([-8112.,  -368.,  2352.]), array([-8584.,  -459.,  5183.]), array([ 260.,  339., -219.]))
(6, 42771, 42991, 41055, array([-8112.,  -128.,  2704.]), array([-8508.,  -482.,  5224.]), array([ 260.,  339., -219.]))
(6, 44194, 43999, 43601, array([-8176.,  -496.,  2336.]), array([-8548.,  -432.,  5254.]), array([ 260.,  341., -211.]))
(6, 45143, 45007, 43601, array([-8160.,  -272.,  2480.]), array([-8544.,  -463.,  5237.]), array([ 260.,  341., -211.]))
(6, 46092, 46015, 46146, array([-8176.,  -240.,  2464.]), array([-8599.,  -432.,  5200.]), array([ 270.,  344., -195.]))
(6, 47515, 47023, 46146, array([-8144.,  -304.,  2464.]), array([-8594.,  -432.,  5193.]), array([ 270.,  344., -195.]))
(6, 48464, 48031, 48690, array([-8176.,  -272.,  2512.]), array([-8572.,  -473.,  5246.]), array([ 276.,  342., -195.]))
(6, 49413, 49039, 48690, array([-8176.,  -304.,  2528.]), array([-8597.,  -451.,  5251.]), array([ 276.,  342., -195.]))
(6, 50836, 50047, 48690, array([-8112.,  -240.,  2496.]), array([-8572.,  -463.,  5219.]), array([ 276.,  342., -195.]))
(6, 51786, 52063, 51236, array([-8160.,   -64.,  2560.]), array([-8605.,  -463.,  5200.]), array([ 279.,  345., -187.]))
(6, 53209, 53071, 51236, array([-8080.,  -224.,  2528.]), array([-8570.,  -490.,  5251.]), array([ 279.,  345., -187.]))
(6, 54158, 54079, 53781, array([-8160.,  -256.,  2512.]), array([-8612.,  -473.,  5266.]), array([ 283.,  346., -180.]))
(6, 55107, 55087, 53781, array([-8016.,  -288.,  2512.]), array([-8564.,  -480.,  5256.]), array([ 283.,  346., -180.]))
(6, 56531, 56095, 56326, array([-8064.,  -224.,  2560.]), array([-8597.,  -487.,  5229.]), array([ 288.,  344., -169.]))
(6, 57480, 57103, 56326, array([-8144.,  -288.,  2368.]), array([-8578.,  -458.,  5271.]), array([ 288.,  344., -169.]))
(6, 58429, 58111, 56326, array([-8128.,  -336.,  2432.]), array([-8560.,  -471.,  5310.]), array([ 288.,  344., -169.]))
