(6, 356, 141, 241, array([-8000.,  -320.,  1280.]), array([-7922.,  -174.,   656.]), array([ 297.,   35., -264.]))
(6, 1305, 1149, 241, array([-7920.,  -304.,  1392.]), array([-7949.,  -179.,   686.]), array([ 297.,   35., -264.]))
(6, 2728, 2157, 2787, array([-7920.,  -416.,  1296.]), array([-7963.,  -175.,   674.]), array([ 294.,   46., -272.]))
(6, 3677, 3165, 2787, array([-8016.,  -368.,  1328.]), array([-7994.,  -163.,   665.]), array([ 294.,   46., -272.]))
(6, 5101, 4173, 2787, array([-8032.,  -320.,  1312.]), array([-8013.,  -159.,   652.]), array([ 294.,   46., -272.]))
(6, 6050, 6189, 5332, array([-7984.,  -432.,  1344.]), array([-8088.,  -133.,   632.]), array([ 298.,   51., -272.]))
(6, 6999, 7197, 5332, array([-7952.,  -272.,  1376.]), array([-8029.,  -122.,   660.]), array([ 298.,   51., -272.]))
(6, 8422, 8206, 7877, array([-7936.,  -320.,  1360.]), array([-8079.,  -130.,   659.]), array([ 296.,   62., -274.]))
(6, 9371, 9214, 7877, array([-7936.,  -432.,  1328.]), array([-8076.,  -155.,   704.]), array([ 296.,   62., -274.]))
(6, 10320, 10222, 10422, array([-8096.,  -400.,  1408.]), array([-8094.,  -164.,   704.]), array([ 297.,   67., -274.]))
(6, 11744, 11230, 10422, array([-8016.,  -304.,  1344.]), array([-8145.,  -150.,   667.]), array([ 297.,   67., -274.]))
(6, 12693, 12238, 12968, array([-7920.,  -240.,  1296.]), array([-8139.,  -182.,   669.]), array([ 298.,   77., -274.]))
(6, 14117, 13246, 12968, array([-8000.,  -416.,  1104.]), array([-8158.,  -181.,   676.]), array([ 298.,   77., -274.]))
(6, 15065, 15262, 12968, array([-7984.,  -352.,  1216.]), array([-8165.,  -181.,   735.]), array([ 298.,   77., -274.]))
(6, 16014, 16270, 15514, array([-7968.,  -304.,  1472.]), array([-8218.,  -147.,   748.]), array([ 299.,   86., -279.]))
(6, 17438, 17278, 15514, array([-8016.,  -464.,  1200.]), array([-8195.,  -133.,   742.]), array([ 299.,   86., -279.]))
(6, 18386, 18286, 18058, array([-7872.,  -416.,  1312.]), array([-8236.,  -132.,   728.]), array([ 297.,   96., -274.]))
(6, 19335, 19294, 18058, array([-7952.,  -336.,  1328.]), array([-8254.,  -122.,   721.]), array([ 297.,   96., -274.]))
(6, 20759, 20302, 20603, array([-7984.,  -352.,  1296.]), array([-8253.,  -152.,   726.]), array([ 297.,  103., -276.]))
(6, 21707, 21310, 20603, array([-7840.,  -288.,  1344.]), array([-8288.,  -146.,   712.]), array([ 297.,  103., -276.]))
(6, 23131, 22318, 20603, array([-7984.,  -400.,  1216.]), array([-8289.,  -150.,   753.]), array([ 297.,  103., -276.]))
(6, 24081, 23326, 23148, array([-8032.,  -576.,  1216.]), array([-8368.,  -168.,   762.]), array([ 297.,  112., -273.]))
(6, 25029, 25342, 23148, array([-8032.,  -544.,  1136.]), array([-8337.,  -199.,   733.]), array([ 297.,  112., -273.]))
