(1, 58022, 58158, 55899, array([ 6448.,  1536., -3712.]), array([ 1006.,  -448.,    23.]), array([-279., -118.,  476.]))
(1, 58972, 59167, 58445, array([ 6336.,  1488., -3744.]), array([ 1031.,  -423.,    25.]), array([-277., -117.,  482.]))
(1, 60395, 60175, 58445, array([ 6400.,  1488., -3696.]), array([ 1089.,  -396.,    53.]), array([-277., -117.,  482.]))
(1, 61345, 61183, 60993, array([ 6416.,  1440., -3776.]), array([ 1064.,  -354.,    81.]), array([-277., -118.,  482.]))
(1, 62769, 62191, 60993, array([ 6416.,  1440., -3728.]), array([ 1062.,  -290.,   102.]), array([-277., -118.,  482.]))
(1, 63718, 63199, 63541, array([ 6400.,  1456., -3760.]), array([ 1024.,  -277.,    99.]), array([-273., -114.,  477.]))
(1, 64668, 64207, 63541, array([ 6432.,  1424., -3760.]), array([ 957., -280.,  116.]), array([-273., -114.,  477.]))
(1, 556, 65216, 553, array([ 6480.,  1424., -3728.]), array([ 941., -251.,  138.]), array([-274., -112.,  479.]))
(1, 1505, 1696, 553, array([ 6496.,  1392., -3760.]), array([ 827., -219.,  168.]), array([-274., -112.,  479.]))
(1, 2455, 2704, 553, array([ 6448.,  1456., -3808.]), array([ 792., -182.,  186.]), array([-274., -112.,  479.]))
(1, 3878, 3712, 3101, array([ 6400.,  1376., -3808.]), array([ 710., -156.,  181.]), array([-274., -111.,  477.]))
(1, 4827, 4720, 3101, array([ 6352.,  1472., -3872.]), array([ 684., -163.,  181.]), array([-274., -111.,  477.]))
(1, 6251, 5728, 5647, array([ 6352.,  1520., -3904.]), array([ 671., -168.,  177.]), array([-274., -109.,  481.]))
(1, 7201, 6737, 5647, array([ 6352.,  1488., -3968.]), array([ 657., -157.,  196.]), array([-274., -109.,  481.]))
(1, 8149, 7745, 8195, array([ 6320.,  1424., -3968.]), array([ 718., -171.,  172.]), array([-274., -106.,  483.]))
(1, 9573, 8753, 8195, array([ 6272.,  1440., -3968.]), array([ 699., -102.,  162.]), array([-274., -106.,  483.]))
(1, 10522, 10769, 10744, array([ 6272.,  1488., -4080.]), array([ 685., -128.,  167.]), array([-274., -108.,  483.]))
(1, 11471, 11777, 10744, array([ 6304.,  1488., -4000.]), array([ 640., -103.,  178.]), array([-274., -108.,  483.]))
(1, 12895, 12785, 10744, array([ 6288.,  1456., -4032.]), array([ 647., -122.,  155.]), array([-274., -108.,  483.]))
(1, 13843, 13794, 13291, array([ 6208.,  1504., -4112.]), array([ 615., -108.,  144.]), array([-274., -105.,  483.]))
(1, 15268, 14802, 13291, array([ 6208.,  1472., -4016.]), array([ 639., -115.,  123.]), array([-274., -105.,  483.]))
